ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,Response
5524,1957,Graduation,Single,58138,,,04-09-12,58,635,88,88,3,8,10,4,7,0,0,1
,1954,,Single,46344,1,1,08-03-14,,,1,6,2,1,1,2,5,0,0,0
4141,1965,Graduation,,71613,,0,21-08-13,26,,49,42,,8,2,10,4,0,0,0
6182,1984,Graduation,,26646,1,0,10-02-14,26,11,4,5,2,2,0,4,6,0,0,0
5324,,PhD,Married,58293,1,0,19-01-14,94,173,43,15,5,5,3,6,5,,0,0
7446,1967,Master,Together,,0,,09-09-13,,520,42,,2,6,4,10,6,0,0,0
965,1971,,Divorced,55635,0,1,13-11-12,34,235,65,27,4,7,3,7,6,0,0,0
6177,1985,PhD,Married,33454,1,0,08-05-13,32,76,10,23,2,4,0,4,8,0,0,
4855,1974,PhD,Together,30351,,0,06-06-13,19,,0,2,,3,0,2,9,0,0,1
5899,1950,PhD,Together,5648,1,1,,68,28,,13,1,,,0,20,0,0,0
1994,,Graduation,Married,,1,0,15-11-13,11,5,,,1,1,0,2,,0,0,0
387,1976,Basic,Married,7500,0,0,,,,16,16,,2,,3,8,0,0,0
2125,1959,Graduation,Divorced,,0,0,15-11-13,82,194,61,30,1,3,4,8,2,0,0,0
,1952,Master,Divorced,59354,1,1,15-11-13,53,233,2,14,3,6,1,5,6,,,0
2569,1987,Graduation,Married,17323,0,,10-10-12,38,3,14,5,1,1,0,3,8,0,0,0
2114,1946,PhD,Single,82800,0,0,24-11-12,23,1006,22,45,1,7,6,12,3,,0,1
,1980,Graduation,Married,41850,1,1,24-12-12,,,5,4,3,,0,,,0,0,0
4939,1946,Graduation,Together,37760,0,0,,,84,5,28,2,4,,6,7,0,0,0
6565,1949,Master,Married,76995,0,1,,,1012,,176,2,11,4,9,,1,0,0
2278,1985,2n Cycle,Single,,1,0,03-11-12,,4,17,39,2,,1,,6,0,0,0
,1982,Graduation,Married,37040,0,,,,86,2,48,1,4,,,8,0,0,0
5376,1979,Graduation,Married,2447,1,0,06-01-13,,,,1,,,28,0,1,0,0,0
1993,1949,PhD,Married,,0,1,,,867,0,,3,2,3,9,8,0,0,0
4047,1954,PhD,Married,65324,0,1,11-01-14,,384,0,5,3,6,2,9,,0,0,0
1409,1951,Graduation,Together,,0,,18-03-13,,270,3,99,7,,1,5,8,0,0,0
7892,1969,,Single,18589,0,0,02-01-13,,6,4,13,2,2,1,3,,0,0,0
2404,1976,Graduation,,53359,1,1,27-05-13,4,173,4,41,4,5,1,,7,0,0,
,,Graduation,Single,,1,0,20-02-13,19,5,1,362,0,27,0,0,1,,0,0
9422,1989,Graduation,Married,38360,,0,31-05-13,,36,2,,2,,1,4,,,0,0
1966,1965,PhD,Married,84618,0,0,22-11-13,96,684,100,0,1,,9,10,2,0,0,0
6864,,Master,Divorced,10979,0,0,22-05-14,,8,4,4,,3,0,3,5,0,0,
3033,1963,Master,Together,38620,0,,11-05-13,56,,17,89,,2,5,3,3,,0,0
5710,1970,Graduation,Together,40548,0,1,10-10-12,31,110,0,3,2,2,1,,5,0,0,0
7373,1952,,Divorced,46610,0,2,29-10-12,8,96,12,43,6,4,,,6,0,0,1
8755,,,Married,68657,0,0,20-02-13,4,482,34,,1,3,5,,7,0,0,
10738,1951,Master,,49389,1,1,29-08-13,55,40,0,3,1,2,0,,7,0,0,0
4339,1970,PhD,Married,67353,0,1,31-12-13,37,702,17,35,5,5,,,2,0,0,
10755,1976,2n Cycle,Married,23718,1,0,02-09-13,76,6,3,36,3,3,1,,7,0,0,0
8595,1973,Graduation,Widow,42429,0,1,11-02-14,99,55,0,4,2,1,1,,5,0,,0
2968,,PhD,Divorced,48948,0,0,01-02-13,53,,8,42,2,7,10,,,,0,1
,1980,Graduation,Married,80011,0,,29-04-13,3,421,76,102,2,,6,,4,0,0,0
,1985,,Married,20559,1,0,12-03-13,88,13,1,7,2,2,0,,8,0,0,0
8430,1957,Graduation,Together,,0,1,24-12-12,,9,0,3,1,0,0,3,5,,0,0
,1959,PhD,Single,,0,0,05-11-13,80,,11,39,,1,3,4,2,0,0,
2139,1975,Master,Married,,1,0,02-10-13,19,3,1,12,3,2,0,3,5,0,0,0
1371,1976,Graduation,Single,79941,0,0,28-06-14,72,123,,,1,,4,9,1,,0,0
9909,,2n Cycle,Married,,0,,09-11-12,,3,18,50,3,3,1,,9,0,0,1
